center,branch,cap,variant,n_features,n_heldout,macro_auroc,macro_auprc,balanced_accuracy,macro_f1,accuracy
emory,xgboost,low,archived_locked_medoid,,80,0.8457919354396921,0.6847265282123023,0.5516290726817042,0.5731943109972362,0.7875
emory,xgboost,reference,updated_regret_locked,20.0,80,0.8484711659613516,0.6799154291974823,0.5713032581453634,0.5584372251038917,0.75
emory,xgboost,reference,archived_rfecv_only,,80,0.8787058647301315,0.7224785671287597,0.5320802005012532,0.46066658547476963,0.6375
emory,xgboost,reference,archived_locked_medoid,,80,0.7781081648794116,0.6444989003135452,0.4962406015037593,0.5463528044173206,0.75
mayo,boruta_rf,low,updated_regret_locked,13.0,217,0.8220287916148946,0.6872485179312343,0.5757003307807232,0.5674921538352861,0.6543778801843319
mayo,boruta_rf,low,archived_rfecv_only,,217,0.8468354145476119,0.6805533179615333,0.5489846854309153,0.5491367096143215,0.6543778801843319
mayo,boruta_rf,low,archived_locked_medoid,,217,0.8096639499294658,0.6109871522474754,0.5041159336779738,0.4887182778710379,0.6175115207373272
mayo,boruta_rf,reference,updated_regret_locked,24.0,217,0.8528326258552158,0.6827645505435096,0.5303634004389312,0.5345394007889022,0.6405529953917051
mayo,boruta_rf,reference,archived_rfecv_only,,217,0.8502642206749905,0.6782023189360155,0.5709061383778757,0.5734728234728235,0.6774193548387096
mayo,boruta_rf,reference,archived_locked_medoid,,217,0.8140421568134086,0.6414683773821642,0.5275172238428404,0.5320984876890389,0.6405529953917051
mayo,svm_l1,low,updated_regret_locked,28.0,217,0.8295455019203044,0.6733935497798198,0.5895121448145129,0.5980868338659301,0.663594470046083
mayo,svm_l1,low,archived_rfecv_only,,217,0.8322306634459425,0.6440710233586012,0.5507755503826732,0.5435693338919145,0.6682027649769585
mayo,svm_l1,low,archived_locked_medoid,,217,0.8261542019683757,0.6489204713282543,0.563654281214907,0.551330742507213,0.6359447004608295
mayo,svm_l1,reference,updated_regret_locked,28.0,217,0.8295455019203044,0.6733935497798198,0.5895121448145129,0.5980868338659301,0.663594470046083
mayo,svm_l1,reference,archived_rfecv_only,,217,0.8803350498232971,0.725493433772091,0.6035858769399672,0.6153665175404306,0.7004608294930875
mayo,svm_l1,reference,archived_locked_medoid,,217,0.8137115461239123,0.6411705019131021,0.549023973144665,0.5358305992473222,0.6451612903225806
mayo,xgboost,low,updated_regret_locked,22.0,217,0.8274732523551392,0.6485091797174378,0.5806876877761735,0.5823179716055192,0.6728110599078341
mayo,xgboost,low,archived_rfecv_only,,217,0.7859707623684464,0.6110292735478126,0.5710589239313468,0.5763028723079452,0.6682027649769585
mayo,xgboost,low,archived_locked_medoid,,217,0.7960519940700598,0.6062889849690039,0.5496700377707714,0.5556394184541754,0.6359447004608295
mayo,xgboost,reference,updated_regret_locked,22.0,217,0.8274732523551392,0.6485091797174378,0.5806876877761735,0.5823179716055192,0.6728110599078341
mayo,xgboost,reference,archived_rfecv_only,,217,0.797913753428861,0.6183997019439177,0.5324794803545062,0.5385964912280702,0.6359447004608295
mayo,xgboost,reference,archived_locked_medoid,,217,0.7721927701259648,0.5906942058611918,0.4815287722480321,0.46884870352654534,0.6036866359447005
mount_sinai,boruta_rf,low,updated_regret_locked,24.0,52,0.7013401898576316,0.5635315274341809,0.4957671957671958,0.4072710914816178,0.5
mount_sinai,boruta_rf,low,archived_rfecv_only,,52,0.7393446187050837,0.5862418013960794,0.5402116402116403,0.4763655462184874,0.5384615384615384
mount_sinai,boruta_rf,low,archived_locked_medoid,,52,0.7235480704957449,0.6130255888051965,0.5492063492063491,0.5109828443161776,0.5769230769230769
mount_sinai,boruta_rf,reference,updated_regret_locked,24.0,52,0.7013401898576316,0.5635315274341809,0.4957671957671958,0.4072710914816178,0.5
mount_sinai,boruta_rf,reference,archived_rfecv_only,,52,0.7157939916660848,0.5543114707361679,0.5862433862433862,0.5354432947859606,0.5961538461538461
mount_sinai,boruta_rf,reference,archived_locked_medoid,,52,0.6636112025646909,0.4934693486224668,0.47222222222222215,0.3769063180827887,0.5192307692307693
mount_sinai,svm_l1,low,updated_regret_locked,12.0,52,0.6347313260103958,0.4918799282837754,0.4288359788359788,0.39931333034781313,0.4230769230769231
mount_sinai,svm_l1,low,archived_rfecv_only,,52,0.6865102852021456,0.5356500323148676,0.5592592592592592,0.5013888888888889,0.5192307692307693
mount_sinai,svm_l1,low,archived_locked_medoid,,52,0.6855950219322312,0.5164888190853518,0.46296296296296297,0.43398190817545657,0.46153846153846156
mount_sinai,svm_l1,reference,updated_regret_locked,17.0,52,0.6250974812021323,0.5169938973052289,0.4330687830687831,0.39503856577027313,0.40384615384615385
mount_sinai,svm_l1,reference,archived_rfecv_only,,52,0.6849693131669876,0.5242164150087268,0.4735449735449735,0.4634432234432235,0.5192307692307693
mount_sinai,svm_l1,reference,archived_locked_medoid,,52,0.6901929337975851,0.5079564832699424,0.5208994708994709,0.498015873015873,0.5384615384615384
mount_sinai,xgboost,low,updated_regret_locked,24.0,52,0.6955716306007004,0.5882797872312516,0.5208994708994709,0.4982716049382716,0.5384615384615384
mount_sinai,xgboost,low,archived_rfecv_only,,52,0.683922024183652,0.5211488045877143,0.4587301587301587,0.4552354666206659,0.5192307692307693
mount_sinai,xgboost,low,archived_locked_medoid,,52,0.7137386348142162,0.5735031724842156,0.5801587301587302,0.546989166036785,0.5769230769230769
mount_sinai,xgboost,reference,updated_regret_locked,24.0,52,0.6955716306007004,0.5882797872312516,0.5208994708994709,0.4982716049382716,0.5384615384615384
mount_sinai,xgboost,reference,archived_rfecv_only,,52,0.6765346326392838,0.5197776945174143,0.38465608465608464,0.38802889576883387,0.4807692307692308
mount_sinai,xgboost,reference,archived_locked_medoid,,52,0.7039445591771173,0.5429291573737569,0.5521164021164021,0.4894230769230769,0.5576923076923077
rush,boruta_rf,low,updated_regret_locked,12.0,178,0.7784875652781569,0.6131537772462728,0.5469178300503601,0.4644285633434691,0.5112359550561798
rush,boruta_rf,low,archived_rfecv_only,,178,0.8071855326264498,0.649235083887285,0.6064715210046535,0.5490764077083051,0.5730337078651685
rush,boruta_rf,low,archived_locked_medoid,,178,0.7715013941635173,0.5735776772913327,0.5688607605023268,0.471149877672588,0.5168539325842697
rush,boruta_rf,reference,updated_regret_locked,23.0,178,0.7716422347063813,0.6040403456170944,0.5640916841971059,0.48685105983537785,0.5280898876404494
rush,boruta_rf,reference,archived_rfecv_only,,178,0.7951544139441947,0.6231594453163808,0.5568125677312424,0.4519504436631509,0.5
rush,boruta_rf,reference,archived_locked_medoid,,178,0.7913244237336766,0.6307740274955292,0.6307730923694779,0.5415429741948777,0.5730337078651685
rush,svm_l1,low,updated_regret_locked,28.0,178,0.7630099826925535,0.5708894396537496,0.5160244151208007,0.45660351634927904,0.5056179775280899
rush,svm_l1,low,archived_rfecv_only,,178,0.758479772400415,0.5442624160894926,0.5637350991266654,0.4688375504217088,0.5168539325842697
rush,svm_l1,low,archived_locked_medoid,,178,0.7569477031355375,0.6004126983791394,0.5337719927328362,0.5107852594265637,0.5393258426966292
rush,svm_l1,reference,updated_regret_locked,23.0,178,0.8098444006294868,0.6419814364897126,0.5581333269586282,0.5398995318449865,0.6235955056179775
rush,svm_l1,reference,archived_rfecv_only,,178,0.7995914532941383,0.6338313676385371,0.5582130107732518,0.5034370274087313,0.5449438202247191
rush,svm_l1,reference,archived_locked_medoid,,178,0.7616079706592239,0.5773039012466369,0.581787467329636,0.526087856457063,0.5617977528089888
rush,xgboost,low,updated_regret_locked,21.0,178,0.7683430981950264,0.6076272607178885,0.5921901893287435,0.5811859397597937,0.6067415730337079
rush,xgboost,low,archived_rfecv_only,,178,0.7864993348286103,0.6260265346282652,0.5737951807228915,0.4548512164388872,0.5112359550561798
rush,xgboost,low,archived_locked_medoid,,178,0.7888937419119593,0.5878799982952893,0.5550754605724485,0.5170957918050941,0.5674157303370787
rush,xgboost,reference,updated_regret_locked,21.0,178,0.7548515665257955,0.5779459874570666,0.5573344967170267,0.47515541720985094,0.5168539325842697
rush,xgboost,reference,archived_rfecv_only,,178,0.7976675117442319,0.6183109123705008,0.5879171447695545,0.5743049776352275,0.6348314606741573
rush,xgboost,reference,archived_locked_medoid,,178,0.7686971887032147,0.6183066345206,0.5499497991967871,0.514603047669821,0.5674157303370787
