outer_repeat,branch,method,metric,estimate,participants
2,boruta_rf,legacy_top3_medoid,accuracy,0.615071283095723,491
2,boruta_rf,legacy_top3_medoid,macro_f1,0.6297781823210945,491
1,boruta_rf,unrestricted_medoid,macro_ovr_auroc,0.8251875835735417,491
1,boruta_rf,unrestricted_medoid,macro_auprc,0.6527169985184793,491
1,boruta_rf,unrestricted_medoid,balanced_accuracy,0.6700034478795541,491
1,boruta_rf,unrestricted_medoid,accuracy,0.6456211812627292,491
1,boruta_rf,unrestricted_medoid,macro_f1,0.6629478430557814,491
2,boruta_rf,unrestricted_medoid,macro_ovr_auroc,0.8388288653223286,491
2,boruta_rf,unrestricted_medoid,macro_auprc,0.6745251036903693,491
2,boruta_rf,unrestricted_medoid,balanced_accuracy,0.6611588158996502,491
2,boruta_rf,unrestricted_medoid,accuracy,0.6415478615071283,491
2,boruta_rf,unrestricted_medoid,macro_f1,0.6436088366713701,491
1,boruta_rf,regret_constrained_medoid,macro_ovr_auroc,0.8274703432330472,491
1,boruta_rf,regret_constrained_medoid,macro_auprc,0.6548551602574384,491
1,boruta_rf,regret_constrained_medoid,balanced_accuracy,0.6586153206254345,491
1,boruta_rf,regret_constrained_medoid,accuracy,0.6354378818737271,491
1,boruta_rf,regret_constrained_medoid,macro_f1,0.6446426096288136,491
2,boruta_rf,regret_constrained_medoid,macro_ovr_auroc,0.8279396946924792,491
2,boruta_rf,regret_constrained_medoid,macro_auprc,0.6664313482607717,491
2,boruta_rf,regret_constrained_medoid,balanced_accuracy,0.6421451283651031,491
2,boruta_rf,regret_constrained_medoid,accuracy,0.6171079429735234,491
2,boruta_rf,regret_constrained_medoid,macro_f1,0.6301147387101068,491
