branch,current_method,comparator,metric,difference,ci_low,ci_high,bootstrap_resamples
svm_l1,regret_constrained_medoid,random_bank_rep_03,balanced_accuracy,0.0025187991528067277,-0.021266577528034434,0.025718038019712956,2000
svm_l1,regret_constrained_medoid,random_bank_rep_03,accuracy,0.003054989816700604,-0.022403258655804503,0.027494908350305436,2000
svm_l1,regret_constrained_medoid,random_bank_rep_03,macro_f1,-0.004264055172350623,-0.029212761468509582,0.020762168644472622,2000
svm_l1,regret_constrained_medoid,random_bank_rep_04,macro_ovr_auroc,-0.0032061596085641852,-0.016194255046541862,0.009662302545289408,2000
svm_l1,regret_constrained_medoid,random_bank_rep_04,macro_auprc,0.0005512769939026718,-0.019543193489141096,0.021837793876418033,2000
svm_l1,regret_constrained_medoid,random_bank_rep_04,balanced_accuracy,-0.0066848501266958404,-0.029261467962084325,0.01600022370170928,2000
svm_l1,regret_constrained_medoid,random_bank_rep_04,accuracy,-0.0010183299389001643,-0.025483706720977717,0.024439918533604832,2000
svm_l1,regret_constrained_medoid,random_bank_rep_04,macro_f1,-0.014499591877686235,-0.038451189451023896,0.008252294191148405,2000
svm_l1,regret_constrained_medoid,random_bank_rep_05,macro_ovr_auroc,-0.000630631063474163,-0.012170370794007252,0.010159196805753001,2000
svm_l1,regret_constrained_medoid,random_bank_rep_05,macro_auprc,0.00300809164763427,-0.015568848897627727,0.020818524075252164,2000
svm_l1,regret_constrained_medoid,random_bank_rep_05,balanced_accuracy,-0.010073965225671944,-0.03369169902474249,0.0118902349757279,2000
svm_l1,regret_constrained_medoid,random_bank_rep_05,accuracy,-0.009164969450101812,-0.03462321792260703,0.015274949083503131,2000
svm_l1,regret_constrained_medoid,random_bank_rep_05,macro_f1,-0.01570121508981004,-0.03924769818107945,0.006682363159643483,2000
xgboost,regret_constrained_medoid,direct,macro_ovr_auroc,-0.004343018499146978,-0.014392621177756363,0.006325490534785114,2000
xgboost,regret_constrained_medoid,direct,macro_auprc,-0.009976715214208176,-0.02787668967930813,0.00962728883031504,2000
xgboost,regret_constrained_medoid,direct,balanced_accuracy,-0.01277323077259851,-0.03317452222240463,0.007552780263352491,2000
xgboost,regret_constrained_medoid,direct,accuracy,-0.014256619144602967,-0.033604887983706755,0.006109979633401208,2000
xgboost,regret_constrained_medoid,direct,macro_f1,-0.00286325978970825,-0.025627635894385353,0.02015313405930521,2000
xgboost,regret_constrained_medoid,rfecv_only,macro_ovr_auroc,0.0012156957673362667,-0.011279598386369891,0.013424046448050167,2000
xgboost,regret_constrained_medoid,rfecv_only,macro_auprc,0.005074978803720431,-0.014336422438502482,0.025888116986565127,2000
