outer_repeat,outer_fold,branch,method,n_features,macro_ovr_auroc,macro_auprc,balanced_accuracy,accuracy,macro_f1
1,5,xgboost,elastic_net_native,88,0.8427170330918456,0.6975863883219405,0.664792603698151,0.6428571428571429,0.6387680390492361
1,5,xgboost,elastic_net_matched,19,0.8065071310498597,0.6549005618333542,0.6455181500159012,0.6122448979591837,0.6356988082340195
1,5,xgboost,stability_native,56,0.8255694530357199,0.6654858125261801,0.6410203988914633,0.6122448979591837,0.6211150918047469
1,5,xgboost,stability_matched,19,0.8338451403668795,0.698217909204042,0.7072259324883013,0.6836734693877551,0.6990925500693789
1,5,xgboost,random_bank_rep_01,19,0.791330044562252,0.5996959404581835,0.5862619389605896,0.5612244897959183,0.5626716880815241
1,5,xgboost,random_bank_rep_02,19,0.7871031082566491,0.6095780398549386,0.6141133978465313,0.5816326530612245,0.5753920171062009
1,5,xgboost,random_bank_rep_03,19,0.8163680808711233,0.6614718288792896,0.6520489755122438,0.6224489795918368,0.6361628973569271
1,5,xgboost,random_bank_rep_04,19,0.8383473997267101,0.6784591716626142,0.6237790195811186,0.5918367346938775,0.6078921387140566
1,5,xgboost,random_bank_rep_05,19,0.8252905016023457,0.6619480595418524,0.692903548225887,0.673469387755102,0.6672709480294562
1,5,boruta_rf,elastic_net_native,67,0.8644574565863921,0.7311872646322773,0.6715392303848076,0.6428571428571429,0.6637822790807866
1,5,boruta_rf,elastic_net_matched,20,0.8713773532814013,0.7473902030478036,0.6662123483712689,0.6326530612244898,0.662617405469102
1,5,boruta_rf,stability_native,42,0.8617059651992185,0.7318684245280498,0.710519740129935,0.6836734693877551,0.7043594326975092
1,5,boruta_rf,stability_matched,20,0.8654753392534502,0.7407563893382385,0.6812048521193947,0.6530612244897959,0.6726641965814952
1,5,boruta_rf,random_bank_rep_01,20,0.8393876138853651,0.6970505034740397,0.6629753305165598,0.6224489795918368,0.6513092743742899
1,5,boruta_rf,random_bank_rep_02,20,0.8347702372589929,0.6953107047661445,0.6521057652991685,0.6122448979591837,0.6452959960697617
1,5,boruta_rf,random_bank_rep_03,20,0.8332383109144728,0.6920506204538528,0.6725841624642224,0.6428571428571429,0.6633399387497747
1,5,boruta_rf,random_bank_rep_04,20,0.8472814292154622,0.701939569834376,0.6629753305165598,0.6224489795918368,0.6580979284369115
1,5,boruta_rf,random_bank_rep_05,20,0.8420064443302824,0.6899745747106003,0.6879514788060515,0.6530612244897959,0.6872306671017248
2,1,svm_l1,elastic_net_native,66,0.8397111994397384,0.6879546118633806,0.681363863522784,0.6565656565656566,0.6770833333333334
2,1,svm_l1,elastic_net_matched,14,0.8120234297865877,0.6427337221606422,0.681363863522784,0.6565656565656566,0.6754478807883658
2,1,svm_l1,stability_native,56,0.8431000812586934,0.6960872504502699,0.6899845531779565,0.6666666666666666,0.6848958333333334
2,1,svm_l1,stability_matched,14,0.8092810841001339,0.6665532936735507,0.6251419744673119,0.5959595959595959,0.6203081232492997
2,1,svm_l1,random_bank_rep_01,14,0.8071354246549545,0.6432020709330533,0.6542978510744627,0.6262626262626263,0.6518511730205279
2,1,svm_l1,random_bank_rep_02,14,0.8307338330461936,0.6610271928527378,0.6663713597746581,0.6363636363636364,0.6658119658119659
2,1,svm_l1,random_bank_rep_03,14,0.8278376103275853,0.668039468396363,0.7031029939575666,0.6767676767676768,0.7010247345741054
2,1,svm_l1,random_bank_rep_04,14,0.841949469066084,0.6793241769645362,0.6608286765708055,0.6363636363636364,0.6599043715846995
2,1,svm_l1,random_bank_rep_05,14,0.8107911086193476,0.6440561096636394,0.6413384216982418,0.6161616161616161,0.636996336996337
2,1,xgboost,elastic_net_native,74,0.8308065133633808,0.6754960840731759,0.6606696651674163,0.6363636363636364,0.6484133387118461
2,1,xgboost,elastic_net_matched,20,0.8344034564513141,0.6973458539509615,0.6770819135886601,0.6464646464646465,0.674578699988536
2,1,xgboost,stability_native,22,0.8369188386295263,0.7035698660238664,0.6715392303848076,0.6464646464646465,0.6635416666666666
2,1,xgboost,stability_matched,20,0.8439857743356414,0.7049392685253791,0.6715392303848076,0.6464646464646465,0.6642765009380863
2,1,xgboost,random_bank_rep_01,20,0.7973195242568032,0.6369240710941971,0.5915451365226477,0.5555555555555556,0.5862170412574133
2,1,xgboost,random_bank_rep_02,20,0.7693169632044797,0.5836227201788025,0.4616182168655931,0.4747474747474747,0.4493780236155317
2,1,xgboost,random_bank_rep_03,20,0.7869826919263888,0.5881774286479848,0.5601128007424859,0.5454545454545454,0.5401365629984052
2,1,xgboost,random_bank_rep_04,20,0.8001861861685116,0.6137697548118705,0.5221772230767733,0.5050505050505051,0.5065359748010609
