branch,method,metric,estimate,ci_low,ci_high,participants
xgboost,elastic_net_native,macro_auprc,0.6708764180355415,0.6458340077589032,0.7063647517643632,491
xgboost,elastic_net_native,balanced_accuracy,0.6636345849683397,0.6352147536407966,0.6907466437902595,491
xgboost,elastic_net_native,accuracy,0.6405295315682281,0.6079429735234216,0.6731160896130346,491
xgboost,elastic_net_native,macro_f1,0.6536936657842243,0.6235037226478932,0.6823726587438651,491
xgboost,elastic_net_matched,macro_ovr_auroc,0.8287174208715153,0.8093020095195554,0.8484464706751383,491
xgboost,elastic_net_matched,macro_auprc,0.6639800111194609,0.6401811157385994,0.6959440016815475,491
xgboost,elastic_net_matched,balanced_accuracy,0.6536784222940986,0.626079716480317,0.6820519056375567,491
xgboost,elastic_net_matched,accuracy,0.6242362525458248,0.5916242362525458,0.6578411405295316,491
xgboost,elastic_net_matched,macro_f1,0.6499868132644211,0.6221063486566563,0.6784803402209433,491
xgboost,stability_native,macro_ovr_auroc,0.8262654850419975,0.8066275048590177,0.8454373083727678,491
xgboost,stability_native,macro_auprc,0.6552680230314252,0.6320613221477782,0.6868500947473863,491
xgboost,stability_native,balanced_accuracy,0.649873030467215,0.6234318681213435,0.6770093612666306,491
xgboost,stability_native,accuracy,0.6232179226069245,0.5916496945010183,0.654786150712831,491
xgboost,stability_native,macro_f1,0.6408002843491323,0.6130161938559748,0.6682746781385444,491
xgboost,stability_matched,macro_ovr_auroc,0.828532663557749,0.8088004762365966,0.8474759611650958,491
xgboost,stability_matched,macro_auprc,0.6668008919851319,0.6428280188712904,0.6973309638805878,491
xgboost,stability_matched,balanced_accuracy,0.6628366471286826,0.6351452419262154,0.6899282752119351,491
xgboost,stability_matched,accuracy,0.6364562118126273,0.6038441955193482,0.6680244399185336,491
xgboost,stability_matched,macro_f1,0.6568484081610368,0.6283536156870797,0.6841079542844325,491
xgboost,random_bank_rep_01,macro_ovr_auroc,0.8163829571939134,0.7956894740564012,0.8363811583282872,491
xgboost,random_bank_rep_01,macro_auprc,0.6451301613454334,0.6189554879108936,0.6781112190735213,491
xgboost,random_bank_rep_01,balanced_accuracy,0.6319353686768352,0.6028765662540158,0.6607130560389883,491
xgboost,random_bank_rep_01,accuracy,0.6038696537678208,0.570264765784114,0.6374999999999998,491
xgboost,random_bank_rep_01,macro_f1,0.6210593638932249,0.5913570142605302,0.6507013792099265,491
xgboost,random_bank_rep_02,macro_ovr_auroc,0.8074045401787113,0.7874328565723833,0.8263496382501205,491
xgboost,random_bank_rep_02,macro_auprc,0.6250926483995831,0.6041505353777439,0.6557080700914635,491
xgboost,random_bank_rep_02,balanced_accuracy,0.6037352028502472,0.573858261023637,0.6324591282611193,491
xgboost,random_bank_rep_02,accuracy,0.5814663951120163,0.5478615071283095,0.6140784114052952,491
xgboost,random_bank_rep_02,macro_f1,0.591801236659168,0.5637596089032453,0.6213103195753162,491
xgboost,random_bank_rep_03,macro_ovr_auroc,0.8159002762866008,0.7951442415721569,0.8357308338275798,491
xgboost,random_bank_rep_03,macro_auprc,0.6421167269372571,0.6178114270044595,0.6751839619682417,491
xgboost,random_bank_rep_03,balanced_accuracy,0.6475654139370954,0.6189848440381784,0.6758394286918308,491
xgboost,random_bank_rep_03,accuracy,0.6221995926680244,0.5916242362525458,0.654786150712831,491
xgboost,random_bank_rep_03,macro_f1,0.6388878764042094,0.6107401393709504,0.6664745856733013,491
xgboost,random_bank_rep_04,macro_ovr_auroc,0.8187943696832778,0.7980582468586119,0.8376560251859826,491
xgboost,random_bank_rep_04,macro_auprc,0.6375197829879218,0.6144014961916154,0.668075360109371,491
xgboost,random_bank_rep_04,balanced_accuracy,0.6211517149096163,0.5934391931551382,0.6485136304119395,491
xgboost,random_bank_rep_04,accuracy,0.5936863543788187,0.5610997963340123,0.6262729124236253,491
xgboost,random_bank_rep_04,macro_f1,0.6130761399363915,0.5860714944088616,0.6400006695231265,491
xgboost,random_bank_rep_05,macro_ovr_auroc,0.8255133690609376,0.8067887992499423,0.8439314749853472,491
xgboost,random_bank_rep_05,macro_auprc,0.6571554130654437,0.6345056956951053,0.6887873892301049,491
xgboost,random_bank_rep_05,balanced_accuracy,0.6496069827770208,0.6230607182535121,0.6769085552563745,491
xgboost,random_bank_rep_05,accuracy,0.6221995926680244,0.5906313645621182,0.6537678207739308,491
xgboost,random_bank_rep_05,macro_f1,0.6419121405676431,0.615222823887516,0.6686768833955576,491
boruta_rf,direct,macro_ovr_auroc,0.8432831288174119,0.8234052355680784,0.8629071005811693,491
boruta_rf,direct,macro_auprc,0.678495466302896,0.6525220940222172,0.7125625952446855,491
boruta_rf,direct,balanced_accuracy,0.6606346561150607,0.6330361452706585,0.6872760041265098,491
boruta_rf,direct,accuracy,0.6405295315682281,0.6079429735234216,0.6710794297352343,491
boruta_rf,direct,macro_f1,0.6450046342213216,0.6155973517591526,0.6727459110434142,491
boruta_rf,rfecv_only,macro_ovr_auroc,0.8223467056878343,0.8017896454040475,0.8426485218316059,491
boruta_rf,rfecv_only,macro_auprc,0.6494065754880513,0.6259211700054721,0.6840703203364588,491
boruta_rf,rfecv_only,balanced_accuracy,0.6656035704708272,0.6391014545399817,0.691583790998298,491
boruta_rf,rfecv_only,accuracy,0.6435845213849287,0.6130346232179227,0.6731160896130346,491
boruta_rf,rfecv_only,macro_f1,0.6533890645568424,0.6246178022996473,0.6802118027556083,491
boruta_rf,regret_constrained_medoid,macro_ovr_auroc,0.8277050189627633,0.807159849047763,0.8466094443638977,491
boruta_rf,regret_constrained_medoid,macro_auprc,0.660643254259105,0.6376852238174512,0.6914515671135599,491
boruta_rf,regret_constrained_medoid,balanced_accuracy,0.6503802244952688,0.6237778429956053,0.6774146136733051,491
boruta_rf,regret_constrained_medoid,accuracy,0.6262729124236253,0.5946792260692464,0.6578665987780039,491
