center,branch,cap,run_id,seed,rfecv_target,run_best_feature_count,run_best_absolute_target_deviation,base_development_cv_balanced_accuracy,raw_untruncated_objective,diagnostic_legacy_truncated_run_best_fitness,diagnostic_zero_legacy_run_best,diagnostic_all_zero_legacy_fitness_generations,actual_uniform_sampling_fallback_generations,mean_population_unique_masks,minimum_population_unique_masks,final_population_unique_masks,stable_feature_set_identifier,runtime_seconds,history_generations,python_version,numpy_version,pandas_version,scikit_learn_version,backend,objective_mode,held_out_inputs_used
emory,xgboost,reference,2,43,17,17,0,0.600136590273656,0.600136590273656,0.600136590273656,False,3,0,49.9,49,49,f6be1c6ab45f14381b12b025e21c72695de8e08f7911b5617572e3849990930b,1653.751963527,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,xgboost,reference,3,44,17,21,4,0.6309630181757392,0.5709630181757392,0.5709630181757392,False,4,0,50.0,50,50,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,1697.2277326849999,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,xgboost,reference,4,45,17,20,3,0.6125752925893718,0.5675752925893718,0.5675752925893718,False,3,0,50.0,50,50,3cf159b7d4677755fa2b19188f33d47820969448076b686d69b83b219622af7f,1617.6247082650002,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,xgboost,reference,5,46,17,22,5,0.6157649960200791,0.5407649960200791,0.5407649960200791,False,3,0,50.0,50,50,ac134c488332f7db7dfc5b0fbe6a6275f7e3d19f0141ad57be1e3c244a0e414d,1615.4225499599997,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,boruta_rf,low,1,42,13,13,0,0.7149644225506295,0.7149644225506295,0.7149644225506295,False,1,0,49.96,49,50,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,1643.6737305799998,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,boruta_rf,low,2,43,13,14,1,0.706535303776683,0.691535303776683,0.691535303776683,False,1,0,50.0,50,50,b13270bf19982aa3089713be5cc0ae224b6e5b964eda6b003e05178c70a0c437,1630.6315799729982,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,boruta_rf,low,3,44,13,15,2,0.6975697865353037,0.6675697865353036,0.6675697865353036,False,1,0,49.98,49,50,9b3f695e28ddeeab1d2c1008066ed9f427c55e7d3fe9de7de63544c935956f01,1660.4324083129995,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,boruta_rf,low,4,45,13,14,1,0.7126491516146689,0.6976491516146689,0.6976491516146689,False,1,0,49.94,49,50,1532fd18c667ca938b2ef70e008424785b4a8ebe1df3848ee1563f0d3f5659b6,1581.8391580519997,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,boruta_rf,low,5,46,13,16,3,0.7166174055829229,0.6716174055829228,0.6716174055829228,False,1,0,50.0,50,50,fe247fab04bdce98eb9cbb879aedcf900c01b94490cd2304efe4fc80f0f3d487,1569.286937509,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
mayo,boruta_rf,reference,1,42,24,24,0,0.7278872468527642,0.7278872468527642,0.7278872468527642,False,0,0,49.98,49,50,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,1564.2680576870002,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
