center,branch,cap,run_i,run_j,stable_mask_hash_i,stable_mask_hash_j,jaccard
emory,xgboost,low,2,3,1a04ae2cd74f029696f5a13683e03cefd7a51d3eca474b9cf02e869886a6a278,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,0.12121212121212122
emory,xgboost,low,1,2,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1a04ae2cd74f029696f5a13683e03cefd7a51d3eca474b9cf02e869886a6a278,0.125
emory,xgboost,low,1,1,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1.0
emory,xgboost,low,1,3,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,0.1388888888888889
emory,xgboost,low,3,2,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,1a04ae2cd74f029696f5a13683e03cefd7a51d3eca474b9cf02e869886a6a278,0.12121212121212122
emory,xgboost,low,3,1,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,0.1388888888888889
emory,xgboost,low,3,3,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,1.0
emory,xgboost,reference,1,1,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1.0
emory,xgboost,reference,1,3,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,0.1388888888888889
emory,xgboost,reference,1,2,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,f6be1c6ab45f14381b12b025e21c72695de8e08f7911b5617572e3849990930b,0.15625
emory,xgboost,reference,3,1,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,0.1388888888888889
emory,xgboost,reference,3,3,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,1.0
emory,xgboost,reference,3,2,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,f6be1c6ab45f14381b12b025e21c72695de8e08f7911b5617572e3849990930b,0.11764705882352941
emory,xgboost,reference,2,1,f6be1c6ab45f14381b12b025e21c72695de8e08f7911b5617572e3849990930b,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,0.15625
emory,xgboost,reference,2,3,f6be1c6ab45f14381b12b025e21c72695de8e08f7911b5617572e3849990930b,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,0.11764705882352941
emory,xgboost,reference,2,2,f6be1c6ab45f14381b12b025e21c72695de8e08f7911b5617572e3849990930b,f6be1c6ab45f14381b12b025e21c72695de8e08f7911b5617572e3849990930b,1.0
mayo,boruta_rf,low,1,1,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,1.0
mayo,boruta_rf,low,1,5,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,fe247fab04bdce98eb9cbb879aedcf900c01b94490cd2304efe4fc80f0f3d487,0.11538461538461539
mayo,boruta_rf,low,5,1,fe247fab04bdce98eb9cbb879aedcf900c01b94490cd2304efe4fc80f0f3d487,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,0.11538461538461539
mayo,boruta_rf,low,5,5,fe247fab04bdce98eb9cbb879aedcf900c01b94490cd2304efe4fc80f0f3d487,fe247fab04bdce98eb9cbb879aedcf900c01b94490cd2304efe4fc80f0f3d487,1.0
