condition,Center,Branch,Cap,candidate_bank,status,retained_records,unique_masks,duplicate_records,maximum_within_duplicate_score_range,primary_selected_hash,deduplicated_selected_hash,selected_mask_changed,held_out_inputs_used
mount_sinai|svm_l1|reference,Mount Sinai,SVM-L1,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,7d68cd6d7a4f9b88ad5f131998e8aa795e6eb329d9c297339a1484cc40d623a7,7d68cd6d7a4f9b88ad5f131998e8aa795e6eb329d9c297339a1484cc40d623a7,False,False
mount_sinai|svm_l1|reference,Mount Sinai,SVM-L1,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,9b71f021efc232b98d65e91c4b50b09032a7b4b1ff04d8be091e9c2d56ccba06,9b71f021efc232b98d65e91c4b50b09032a7b4b1ff04d8be091e9c2d56ccba06,False,False
mount_sinai|svm_l1|low,Mount Sinai,SVM-L1,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,faabb8712413dfa7e8e2fd018686093c522398dd602d9d9fa231ab51af341e8c,faabb8712413dfa7e8e2fd018686093c522398dd602d9d9fa231ab51af341e8c,False,False
mount_sinai|svm_l1|low,Mount Sinai,SVM-L1,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,9b053e7c9f29a18a36abf713b8af7b2b4e3e0face73e4f161c21976ce286dbb6,9b053e7c9f29a18a36abf713b8af7b2b4e3e0face73e4f161c21976ce286dbb6,False,False
mount_sinai|xgboost|reference,Mount Sinai,XGBoost,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,9a77146c8e4b454effba476981a1ed52fb9ec439ded7959527d453f5cb055b8a,9a77146c8e4b454effba476981a1ed52fb9ec439ded7959527d453f5cb055b8a,False,False
mount_sinai|xgboost|reference,Mount Sinai,XGBoost,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,False,False
mount_sinai|xgboost|low,Mount Sinai,XGBoost,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,26a92fde311202ee11995757bff634803a357aaf9d651b6fc43d5205e7df415d,26a92fde311202ee11995757bff634803a357aaf9d651b6fc43d5205e7df415d,False,False
mount_sinai|xgboost|low,Mount Sinai,XGBoost,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,False,False
rush|boruta_rf|reference,Rush,Boruta-RF,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,cdc4237b70382f8c20cbb3a8ddd00d11d704f159cb1f38954c80d82b406f5f96,cdc4237b70382f8c20cbb3a8ddd00d11d704f159cb1f38954c80d82b406f5f96,False,False
rush|boruta_rf|reference,Rush,Boruta-RF,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,e67a505e27f8148626019d1b23730e6aeff429c501df8953a73d19d0c8f8023d,e67a505e27f8148626019d1b23730e6aeff429c501df8953a73d19d0c8f8023d,False,False
rush|boruta_rf|low,Rush,Boruta-RF,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,3230032c9df4e79119ac1f6d30dc73a67a787b2800992d4907b7416468457ce0,3230032c9df4e79119ac1f6d30dc73a67a787b2800992d4907b7416468457ce0,False,False
rush|boruta_rf|low,Rush,Boruta-RF,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,eeeda5d0514b93a2df98b8ce34f67962908cb1e6748035ef7d308864f41ff08e,eeeda5d0514b93a2df98b8ce34f67962908cb1e6748035ef7d308864f41ff08e,False,False
rush|svm_l1|reference,Rush,SVM-L1,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,e58ff61535bb0a28f53b7a0840705b42f1445629086527199211444ff9c84b64,e58ff61535bb0a28f53b7a0840705b42f1445629086527199211444ff9c84b64,False,False
rush|svm_l1|reference,Rush,SVM-L1,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,e00d4731b584254175488db3156d21bf75562a95157aef6eda13a8440ce2e459,e00d4731b584254175488db3156d21bf75562a95157aef6eda13a8440ce2e459,False,False
rush|svm_l1|low,Rush,SVM-L1,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,c47481ec71e2c1a67acdcc077e6da14122ff70aa2b517064abf7d8a149446f3e,c47481ec71e2c1a67acdcc077e6da14122ff70aa2b517064abf7d8a149446f3e,False,False
rush|svm_l1|low,Rush,SVM-L1,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,a74423d59cee6f4066d646882b1c34f11fa4e6f920fa1ff4853303556400b208,a74423d59cee6f4066d646882b1c34f11fa4e6f920fa1ff4853303556400b208,False,False
rush|xgboost|reference,Rush,XGBoost,Reference-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,e1b97cba2c57b68cb1f714afba8053292fba14d0fee8dfc5990e46049c4d555a,e1b97cba2c57b68cb1f714afba8053292fba14d0fee8dfc5990e46049c4d555a,False,False
rush|xgboost|reference,Rush,XGBoost,Reference-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,3ca4a4efe2d5caa58e49a72fb7976d14bc95770ffcd588bbdc3c93b65cc5906a,3ca4a4efe2d5caa58e49a72fb7976d14bc95770ffcd588bbdc3c93b65cc5906a,False,False
rush|xgboost|low,Rush,XGBoost,Small-cap,original_objective,complete_from_saved_candidates,5,5,0,0.0,c4f41da938eedb9be5cf32b551b00d3ca445c86f5b4a1a865f10b084c89bf6e7,c4f41da938eedb9be5cf32b551b00d3ca445c86f5b4a1a865f10b084c89bf6e7,False,False
rush|xgboost|low,Rush,XGBoost,Small-cap,updated_objective,complete_from_saved_candidates,5,5,0,0.0,e56855f504d166754418e11e9dbcf44ea4bdaa50d3cc7d688772ee77a24b9d89,e56855f504d166754418e11e9dbcf44ea4bdaa50d3cc7d688772ee77a24b9d89,False,False
