outer_repeat,outer_fold,branch,method,features,feature_count
1,2,svm_l1,highest_locking_score,"[""RNA::ECHDC3"", ""RNA::GCSH"", ""RNA::GDF7"", ""RNA::HSPBAP1"", ""RNA::HTN3"", ""RNA::IL9"", ""RNA::LOC100132831"", ""RNA::MSX2"", ""RNA::NUDT3"", ""RNA::PMP2"", ""RNA::SPATS2"", ""RNA::SYF2"", ""RNA::TAOK3"", ""RNA::ZNF596"", ""SCNV::KCTD15""]",15
1,2,svm_l1,legacy_top3_medoid,"[""RNA::ECHDC3"", ""RNA::GCSH"", ""RNA::GDF7"", ""RNA::HSPBAP1"", ""RNA::HTN3"", ""RNA::IL9"", ""RNA::LOC100132831"", ""RNA::MSX2"", ""RNA::NUDT3"", ""RNA::PMP2"", ""RNA::SPATS2"", ""RNA::SYF2"", ""RNA::TAOK3"", ""RNA::ZNF596"", ""SCNV::KCTD15""]",15
1,2,svm_l1,unrestricted_medoid,"[""RNA::AK2"", ""RNA::CYTL1"", ""RNA::GCSH"", ""RNA::GOLGA6L5"", ""RNA::HCG22"", ""RNA::HSPBAP1"", ""RNA::LOC643387"", ""RNA::MSX2"", ""RNA::PARP9"", ""RNA::PLEKHA4"", ""RNA::PPIAL4C"", ""RNA::SUMF1"", ""RNA::TAOK3"", ""SCNV::KCTD15"", ""SCNV::ZNF726""]",15
1,2,svm_l1,regret_constrained_medoid,"[""RNA::ECHDC3"", ""RNA::GCSH"", ""RNA::GDF7"", ""RNA::HSPBAP1"", ""RNA::HTN3"", ""RNA::IL9"", ""RNA::LOC100132831"", ""RNA::MSX2"", ""RNA::NUDT3"", ""RNA::PMP2"", ""RNA::SPATS2"", ""RNA::SYF2"", ""RNA::TAOK3"", ""RNA::ZNF596"", ""SCNV::KCTD15""]",15
1,2,xgboost,direct,"[""RNA::ADH1C"", ""RNA::ADH6"", ""RNA::AGAP3"", ""RNA::ALG2"", ""RNA::ALPL"", ""RNA::ARHGAP36"", ""RNA::ASAP3"", ""RNA::ASB1"", ""RNA::ASB8"", ""RNA::ATIC"", ""RNA::ATP5EP2"", ""RNA::ATP8B5P"", ""RNA::B3GNT5"", ""RNA::BNIP3"", ""RNA::C12orf69"", ""RNA::C15orf42"", ""RNA::C3orf38"", ""RNA::C9orf40"", ""RNA::CARD11"", ""RNA::CDH13"", ""RNA::CDK11B"", ""RNA::CNN3"", ""RNA::COG2"", ""RNA::CPSF6"", ""RNA::CYP3A7"", ""RNA::DCK"", ""RNA::DGCR6L"", ""RNA::DIAPH1"", ""RNA::DPYSL2"", ""RNA::EBI3"", ""RNA::EEF1A1P9"", ""RNA::EWSR1"", ""RNA::FTHL3"", ""RNA::G6PC2"", ""RNA::GTF2IRD2"", ""RNA::GTF3C2"", ""RNA::HDAC7"", ""RNA::HEATR7B2"", ""RNA::HERC5"", ""RNA::HOXB2"", ""RNA::HPS3"", ""RNA::IGF2BP2"", ""RNA::JMJD5"", ""RNA::KCNE1L"", ""RNA::KCNH5"", ""RNA::KIAA1257"", ""RNA::KIF14"", ""RNA::KLF16"", ""RNA::KRT33B"", ""RNA::LDB3"", ""RNA::LGALS1"", ""RNA::LMO4"", ""RNA::LOC100132724"", ""RNA::LOC341056"", ""RNA::LOC442454"", ""RNA::LRRC14"", ""RNA::MARVELD3"", ""RNA::MGST1"", ""RNA::MXRA8"", ""RNA::NAP1L6"", ""RNA::NEK5"", ""RNA::NFIA"", ""RNA::NPIP"", ""RNA::NUDT13"", ""RNA::PGRMC2"", ""RNA::PLA2G4A"", ""RNA::PNPLA2"", ""RNA::PPOX"", ""RNA::PRR5L"", ""RNA::RAD51AP2"", ""RNA::RGS20"", ""RNA::RPL41"", ""RNA::SCN4B"", ""RNA::SEC22A"", ""RNA::SH3RF2"", ""RNA::SLC15A2"", ""RNA::SLC47A1"", ""RNA::SMG6"", ""RNA::SPIN4"", ""RNA::STYX"", ""RNA::SYDE1"", ""RNA::TAF5L"", ""RNA::TAT"", ""RNA::TMEM149"", ""RNA::TMEM196"", ""RNA::TNFRSF13C"", ""RNA::TOB2"", ""RNA::TOP1P2"", ""RNA::TXNDC12"", ""RNA::UBE3A"", ""RNA::USP5"", ""RNA::VIM"", ""RNA::VPS37A"", ""RNA::WDR26"", ""RNA::WNT8A"", ""RNA::ZBED1"", ""RNA::ZMAT5"", ""RNA::ZNF235"", ""RNA::ZSCAN29"", ""RNA::ZSWIM1""]",100
1,2,xgboost,rfecv_only,"[""RNA::ASAP3"", ""RNA::ATP5EP2"", ""RNA::ATP8B5P"", ""RNA::B3GNT5"", ""RNA::C3orf38"", ""RNA::CARD11"", ""RNA::CNN3"", ""RNA::EEF1A1P9"", ""RNA::FTHL3"", ""RNA::G6PC2"", ""RNA::LOC341056"", ""RNA::LOC442454"", ""RNA::NFIA"", ""RNA::SLC47A1"", ""RNA::TAF5L"", ""RNA::TAT"", ""RNA::TMEM149"", ""RNA::TOP1P2"", ""RNA::TXNDC12"", ""RNA::VIM""]",20
1,2,xgboost,highest_locking_score,"[""RNA::ADH1C"", ""RNA::ALPL"", ""RNA::ASAP3"", ""RNA::ATP5EP2"", ""RNA::B3GNT5"", ""RNA::C3orf38"", ""RNA::C9orf40"", ""RNA::CARD11"", ""RNA::CPSF6"", ""RNA::CYP3A7"", ""RNA::GTF2IRD2"", ""RNA::KLF16"", ""RNA::LGALS1"", ""RNA::LOC442454"", ""RNA::NAP1L6"", ""RNA::PRR5L"", ""RNA::TMEM149"", ""RNA::TOP1P2"", ""RNA::WDR26"", ""RNA::ZSCAN29""]",20
1,2,xgboost,legacy_top3_medoid,"[""RNA::ADH6"", ""RNA::ARHGAP36"", ""RNA::ASAP3"", ""RNA::B3GNT5"", ""RNA::C9orf40"", ""RNA::CPSF6"", ""RNA::EEF1A1P9"", ""RNA::GTF2IRD2"", ""RNA::GTF3C2"", ""RNA::LGALS1"", ""RNA::LOC442454"", ""RNA::NAP1L6"", ""RNA::NFIA"", ""RNA::SCN4B"", ""RNA::SEC22A"", ""RNA::SH3RF2"", ""RNA::TOP1P2"", ""RNA::WDR26"", ""RNA::WNT8A"", ""RNA::ZSWIM1""]",20
1,2,xgboost,unrestricted_medoid,"[""RNA::ADH6"", ""RNA::ARHGAP36"", ""RNA::ASAP3"", ""RNA::B3GNT5"", ""RNA::C9orf40"", ""RNA::CPSF6"", ""RNA::EEF1A1P9"", ""RNA::GTF2IRD2"", ""RNA::GTF3C2"", ""RNA::LGALS1"", ""RNA::LOC442454"", ""RNA::NAP1L6"", ""RNA::NFIA"", ""RNA::SCN4B"", ""RNA::SEC22A"", ""RNA::SH3RF2"", ""RNA::TOP1P2"", ""RNA::WDR26"", ""RNA::WNT8A"", ""RNA::ZSWIM1""]",20
1,2,xgboost,regret_constrained_medoid,"[""RNA::ADH1C"", ""RNA::ALPL"", ""RNA::ASAP3"", ""RNA::ATP5EP2"", ""RNA::B3GNT5"", ""RNA::C3orf38"", ""RNA::C9orf40"", ""RNA::CARD11"", ""RNA::CPSF6"", ""RNA::CYP3A7"", ""RNA::GTF2IRD2"", ""RNA::KLF16"", ""RNA::LGALS1"", ""RNA::LOC442454"", ""RNA::NAP1L6"", ""RNA::PRR5L"", ""RNA::TMEM149"", ""RNA::TOP1P2"", ""RNA::WDR26"", ""RNA::ZSCAN29""]",20
