outer_repeat,outer_fold,branch,method,n_features,model_seed,macro_ovr_auroc,macro_auprc,balanced_accuracy,accuracy,macro_f1
1,3,xgboost,rfecv_only,20,51310,0.8056249864686397,0.6476820475723128,0.5992424242424242,0.5714285714285714,0.5973791755508173
1,3,xgboost,highest_locking_score,20,51310,0.8157410765189402,0.6516489813780317,0.6148601398601399,0.5918367346938775,0.620011655011655
1,3,xgboost,legacy_top3_medoid,20,51310,0.8157410765189402,0.6516489813780317,0.6148601398601399,0.5918367346938775,0.620011655011655
1,3,xgboost,unrestricted_medoid,20,51310,0.8157410765189402,0.6516489813780317,0.6148601398601399,0.5918367346938775,0.620011655011655
1,3,xgboost,regret_constrained_medoid,20,51310,0.8157410765189402,0.6516489813780317,0.6148601398601399,0.5918367346938775,0.620011655011655
1,3,boruta_rf,direct,100,51320,0.8213662885102514,0.6666426109998955,0.6272727272727272,0.6020408163265306,0.6256203146447049
1,3,boruta_rf,rfecv_only,10,51320,0.8208703641559678,0.6466829245557352,0.7037878787878787,0.673469387755102,0.7056222507331379
1,3,boruta_rf,highest_locking_score,17,51320,0.7847543967900005,0.619097018942931,0.6333333333333333,0.6020408163265306,0.6342515688445921
1,3,boruta_rf,legacy_top3_medoid,21,51320,0.8159427839961895,0.6645922810957186,0.6378787878787878,0.6122448979591837,0.6375440013849616
1,3,boruta_rf,unrestricted_medoid,20,51320,0.793158634451204,0.6282092791069782,0.634090909090909,0.6020408163265306,0.6363031233998976
1,3,boruta_rf,regret_constrained_medoid,21,51320,0.8159427839961895,0.6645922810957186,0.6378787878787878,0.6122448979591837,0.6375440013849616
1,4,svm_l1,direct,86,51400,0.809269945446857,0.6649174956590641,0.6668824678569806,0.6428571428571429,0.6366360523038604
1,4,svm_l1,rfecv_only,6,51400,0.8258294279433709,0.6537364094727496,0.6756621689155422,0.6530612244897959,0.6560457516339869
1,4,svm_l1,highest_locking_score,16,51400,0.8076821030044419,0.6367168401821056,0.602039889146336,0.5714285714285714,0.5665237803633395
1,4,svm_l1,legacy_top3_medoid,12,51400,0.7762798485578272,0.5903228458471741,0.6368974603607287,0.6020408163265306,0.601032301032301
1,4,svm_l1,unrestricted_medoid,16,51400,0.8076821030044419,0.6367168401821056,0.602039889146336,0.5714285714285714,0.5665237803633395
1,4,svm_l1,regret_constrained_medoid,16,51400,0.8076821030044419,0.6367168401821056,0.602039889146336,0.5714285714285714,0.5665237803633395
1,4,xgboost,direct,100,51410,0.7952414002788816,0.636458138458712,0.6635886602153468,0.6428571428571429,0.6225774225774225
1,4,xgboost,rfecv_only,20,51410,0.8079027619057604,0.6341369929417076,0.6549679705601744,0.6326530612244898,0.61943116538786
1,4,xgboost,highest_locking_score,20,51410,0.7998778233260992,0.6402495264497954,0.6106605788015084,0.5816326530612245,0.556067829093413
1,4,xgboost,legacy_top3_medoid,20,51410,0.7998778233260992,0.6402495264497954,0.6106605788015084,0.5816326530612245,0.556067829093413
1,4,xgboost,unrestricted_medoid,20,51410,0.7907554449842129,0.6182072252892871,0.6496410885466358,0.6224489795918368,0.6072691197691198
1,4,xgboost,regret_constrained_medoid,20,51410,0.7998778233260992,0.6402495264497954,0.6106605788015084,0.5816326530612245,0.556067829093413
1,4,boruta_rf,direct,100,51420,0.8147900525261844,0.6675728991187839,0.6453023488255871,0.6224489795918368,0.6131038356604076
1,4,boruta_rf,rfecv_only,8,51420,0.8360296774689578,0.697295881862265,0.6711644177911044,0.6530612244897959,0.6338562380321107
1,4,boruta_rf,highest_locking_score,14,51420,0.7958772711546325,0.632668769066684,0.6065376402707737,0.5714285714285714,0.5925735693999638
1,4,boruta_rf,legacy_top3_medoid,17,51420,0.8185683731560793,0.6554865928952089,0.6313547771568762,0.6020408163265306,0.6103514132925897
1,4,boruta_rf,unrestricted_medoid,20,51420,0.8198404993307541,0.6751649760441605,0.6658375357775658,0.6428571428571429,0.6347665847665848
1,4,boruta_rf,regret_constrained_medoid,17,51420,0.8185683731560793,0.6554865928952089,0.6313547771568762,0.6020408163265306,0.6103514132925897
1,5,svm_l1,direct,88,51500,0.8539253100722367,0.7146377670553021,0.6809890509290809,0.6632653061224489,0.6513708513708514
1,5,svm_l1,rfecv_only,10,51500,0.821237108718368,0.6677368150703986,0.7168915542228885,0.6938775510204082,0.7060101197087498
1,5,svm_l1,highest_locking_score,16,51500,0.8589828512317268,0.7427102749140128,0.6584207896051973,0.6326530612244898,0.6413587487781036
1,5,svm_l1,legacy_top3_medoid,12,51500,0.8616039532681212,0.7287660186882088,0.6801599200399799,0.6530612244897959,0.6696227477477477
1,5,svm_l1,unrestricted_medoid,15,51500,0.8737997085373397,0.7547685805355437,0.6857026032438327,0.6530612244897959,0.6815483472566908
1,5,svm_l1,regret_constrained_medoid,12,51500,0.8616039532681212,0.7287660186882088,0.6801599200399799,0.6530612244897959,0.6696227477477477
1,5,xgboost,direct,100,51510,0.8451261781696565,0.689495723903127,0.648380355276907,0.6326530612244898,0.5942444620253164
1,5,xgboost,rfecv_only,16,51510,0.8373828120904583,0.6909666460627176,0.6842828585707146,0.6632653061224489,0.6609719864176571
1,5,xgboost,highest_locking_score,19,51510,0.8351292186074795,0.6756119565652371,0.6713234291944937,0.6530612244897959,0.6451646435517403
1,5,xgboost,legacy_top3_medoid,19,51510,0.8351292186074795,0.6756119565652371,0.6713234291944937,0.6530612244897959,0.6451646435517403
1,5,xgboost,unrestricted_medoid,19,51510,0.8351292186074795,0.6756119565652371,0.6713234291944937,0.6530612244897959,0.6451646435517403
1,5,xgboost,regret_constrained_medoid,19,51510,0.8351292186074795,0.6756119565652371,0.6713234291944937,0.6530612244897959,0.6451646435517403
1,5,boruta_rf,direct,100,51520,0.8717468887933656,0.7408008437197777,0.6941074917086911,0.673469387755102,0.676828022875817
1,5,boruta_rf,rfecv_only,10,51520,0.8534607521414118,0.7274489138761655,0.6865317341329336,0.6632653061224489,0.6705239472838315
1,5,boruta_rf,highest_locking_score,20,51520,0.854471470558427,0.728401142344389,0.7113488710190359,0.6938775510204082,0.689979583772392
1,5,boruta_rf,legacy_top3_medoid,20,51520,0.854471470558427,0.728401142344389,0.7113488710190359,0.6938775510204082,0.689979583772392
1,5,boruta_rf,unrestricted_medoid,18,51520,0.8498959261627927,0.7082713706953021,0.6692903548225887,0.6428571428571429,0.6556051587301587
1,5,boruta_rf,regret_constrained_medoid,20,51520,0.854471470558427,0.728401142344389,0.7113488710190359,0.6938775510204082,0.689979583772392
2,1,svm_l1,direct,71,52100,0.8442941889419009,0.6932194050114808,0.6768661123983464,0.6565656565656566,0.6643543416520635
2,1,svm_l1,rfecv_only,14,52100,0.8420703054146201,0.7030378735087873,0.681363863522784,0.6565656565656566,0.6759615384615385
2,1,svm_l1,highest_locking_score,14,52100,0.8378319951128643,0.6970119425659059,0.6715392303848076,0.6464646464646465,0.6642765009380863
2,1,svm_l1,legacy_top3_medoid,14,52100,0.8568572910773222,0.7252036233098759,0.6737881059470264,0.6464646464646465,0.6686591228893058
2,1,svm_l1,unrestricted_medoid,14,52100,0.8404479504639653,0.6758765613530175,0.684441869974104,0.6666666666666666,0.6710275404305255
2,1,svm_l1,regret_constrained_medoid,14,52100,0.8404479504639653,0.6758765613530175,0.684441869974104,0.6666666666666666,0.6710275404305255
2,1,xgboost,direct,100,52110,0.8215231656940227,0.6691496543354145,0.6442574167461724,0.6262626262626263,0.6152146464646464
2,1,xgboost,rfecv_only,20,52110,0.8369498690918424,0.6899132579772373,0.6627027395393214,0.6464646464646465,0.6379513085978558
2,1,xgboost,highest_locking_score,20,52110,0.841598981883983,0.6891787234977284,0.6801031302530552,0.6666666666666666,0.660371318822023
2,1,xgboost,legacy_top3_medoid,20,52110,0.8306163541398794,0.6885906458448341,0.6454613602289764,0.6262626262626263,0.6260441490028847
2,1,xgboost,unrestricted_medoid,20,52110,0.820105312856893,0.6407484510133061,0.6218481668256781,0.5959595959595959,0.6047837230158493
2,1,xgboost,regret_constrained_medoid,20,52110,0.820105312856893,0.6407484510133061,0.6218481668256781,0.5959595959595959,0.6047837230158493
2,1,boruta_rf,direct,100,52120,0.8368940836392219,0.6718817245909386,0.6292649129980464,0.6060606060606061,0.6120271033314512
2,1,boruta_rf,rfecv_only,8,52120,0.7988426391518505,0.6195669061343239,0.6335468629321702,0.6161616161616161,0.6112460003764352
2,1,boruta_rf,highest_locking_score,18,52120,0.8160727321875216,0.663120537355092,0.5935782108945526,0.5656565656565656,0.5812354312354312
