branch,method,metric,estimate,ci_low,ci_high,participants
xgboost,legacy_top3_medoid,balanced_accuracy,0.6508338532516789,0.6223645715325551,0.6782859335407533,491
xgboost,legacy_top3_medoid,accuracy,0.6313645621181263,0.5987780040733197,0.6629327902240325,491
xgboost,legacy_top3_medoid,macro_f1,0.6388811452471458,0.6094055347607037,0.667112940944453,491
xgboost,unrestricted_medoid,macro_ovr_auroc,0.8180696452681196,0.798009328084967,0.8371499812161326,491
xgboost,unrestricted_medoid,macro_auprc,0.6403200535483916,0.6172809276970501,0.6720437661824035,491
xgboost,unrestricted_medoid,balanced_accuracy,0.6426713404589511,0.6144103253731098,0.6703008924808862,491
xgboost,unrestricted_medoid,accuracy,0.6221995926680244,0.5896130346232179,0.6537678207739308,491
xgboost,unrestricted_medoid,macro_f1,0.6321866834160268,0.6033712682802224,0.6606166336948588,491
xgboost,regret_constrained_medoid,macro_ovr_auroc,0.8270197849809926,0.8064914170664804,0.8468291184064284,491
xgboost,regret_constrained_medoid,macro_auprc,0.6570817977165649,0.6326677665374424,0.6904541632414505,491
xgboost,regret_constrained_medoid,balanced_accuracy,0.652185914591098,0.6239574935967951,0.6789636043476119,491
xgboost,regret_constrained_medoid,accuracy,0.6334012219959266,0.6018329938900204,0.662958248472505,491
xgboost,regret_constrained_medoid,macro_f1,0.6401612782918946,0.610674287092183,0.6682477308410314,491
boruta_rf,direct,macro_ovr_auroc,0.8432831288174119,0.8234052355680784,0.8629071005811693,491
boruta_rf,direct,macro_auprc,0.678495466302896,0.6525220940222172,0.7125625952446855,491
boruta_rf,direct,balanced_accuracy,0.6606346561150607,0.6330361452706585,0.6872760041265098,491
boruta_rf,direct,accuracy,0.6405295315682281,0.6079429735234216,0.6710794297352343,491
boruta_rf,direct,macro_f1,0.6450046342213216,0.6155973517591526,0.6727459110434142,491
boruta_rf,rfecv_only,macro_ovr_auroc,0.8223467056878343,0.8017896454040475,0.8426485218316059,491
boruta_rf,rfecv_only,macro_auprc,0.6494065754880513,0.6259211700054721,0.6840703203364588,491
boruta_rf,rfecv_only,balanced_accuracy,0.6656035704708272,0.6391014545399817,0.691583790998298,491
boruta_rf,rfecv_only,accuracy,0.6435845213849287,0.6130346232179227,0.6731160896130346,491
boruta_rf,rfecv_only,macro_f1,0.6533890645568424,0.6246178022996473,0.6802118027556083,491
boruta_rf,highest_locking_score,macro_ovr_auroc,0.8248353059897933,0.8040943801527473,0.8438056961031641,491
boruta_rf,highest_locking_score,macro_auprc,0.6580734369949841,0.6330148773570843,0.688808527592402,491
boruta_rf,highest_locking_score,balanced_accuracy,0.6462212881934752,0.6191023849201789,0.6731336162783698,491
boruta_rf,highest_locking_score,accuracy,0.6211812627291242,0.5885947046843177,0.6537678207739308,491
boruta_rf,highest_locking_score,macro_f1,0.6340221252505545,0.6061540240275003,0.6613078837342623,491
boruta_rf,legacy_top3_medoid,macro_ovr_auroc,0.8266806295811141,0.8059448056870888,0.8456860820939802,491
