dataset,branch,center,cap,condition,selection_rule,selected_run,selected_feature_count,direct_feature_count,compression_ratio,development_locking_metric,best_saved_run_score,selected_development_score,development_cv_regret,mean_pairwise_jaccard,selected_medoid_mean_jaccard,nogueira_seed_agreement,heldout_metric,heldout_estimate,heldout_direct_estimate,heldout_delta,heldout_source,selection_used_heldout,status,note
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,Direct,,35.0,35,0.0,ROC AUROC,0.8733549783549783,0.8543722943722944,0.01898268398268388,,,,ROC AUROC,0.6345153664302601,0.6345153664302601,0.0,archived Table_S19 variant=direct; joined after locking,False,complete,Comparator rescored with the same development-only CV design.
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,RFECV-only,,15.0,35,0.5714285714285714,ROC AUROC,0.8733549783549783,0.8256709956709957,0.04768398268398266,,,,ROC AUROC,0.6326241134751773,0.6345153664302601,-0.001891252955082745,archived Table_S19 variant=rfecv_only; joined after locking,False,complete,Comparator rescored with the same development-only CV design.
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,highest_development_cv_run,3.0,35.0,70,0.5,ROC AUROC,0.8678571428571429,0.8678571428571429,0.0,0.36931059506531205,0.3606821480406386,-0.018497286555071657,,,,,,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,fixed_run_1,1.0,33.0,70,0.5285714285714286,ROC AUROC,0.8678571428571429,0.8571428571428573,0.010714285714285565,0.36931059506531205,0.3513425253991292,-0.018497286555071657,,,,,,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,legacy_top_three_medoid,3.0,35.0,70,0.5,ROC AUROC,0.8678571428571429,0.8678571428571429,0.0,0.36931059506531205,0.3606821480406386,-0.018497286555071657,ROC AUROC,0.6453900709219857,0.6836879432624113,-0.03829787234042559,archived Table_S19 variant=no_penalty_medoid; joined after locking,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,all_run_medoid,5.0,39.0,70,0.44285714285714284,ROC AUROC,0.8678571428571429,0.8431385281385282,0.024718614718614695,0.36931059506531205,0.41155660377358494,-0.018497286555071657,,,,,,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,regret_constrained_medoid_abs_0.01,3.0,35.0,70,0.5,ROC AUROC,0.8678571428571429,0.8678571428571429,0.0,0.36931059506531205,0.3606821480406386,-0.018497286555071657,,,,,,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,Direct,,70.0,70,0.0,ROC AUROC,0.8678571428571429,0.844978354978355,0.022878787878787832,,,,ROC AUROC,0.6836879432624113,0.6836879432624113,0.0,archived Table_S19 variant=direct; joined after locking,False,complete,Comparator rescored with the same development-only CV design.
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,RFECV-only,,20.0,70,0.7142857142857143,ROC AUROC,0.8678571428571429,0.8824458874458875,-0.014588744588744595,,,,,,,,,False,complete,Comparator rescored with the same development-only CV design.
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,highest_development_cv_run,2.0,20.0,70,0.7142857142857143,ROC AUROC,0.8487445887445887,0.8487445887445887,0.0,0.21753827410729687,0.22384135472370767,-0.03590909090909089,ROC AUROC,0.7163120567375886,0.6836879432624113,0.03262411347517724,archived Table_S19 variant=best_cv; joined after locking,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,fixed_run_1,1.0,19.0,70,0.7285714285714286,ROC AUROC,0.8487445887445887,0.8455627705627705,0.0031818181818181746,0.21753827410729687,0.23903285104364325,-0.03590909090909089,ROC AUROC,0.7021276595744681,0.6836879432624113,0.018439716312056764,archived Table_S19 variant=single_run; joined after locking,False,complete,
